"Frame-Sf","MASTER CAUTN","WARNMAS","AIRCRAFT REGISTRATION","DEPARTURE AIRPORT- ICAO","ARRIVAL AIRPORT- ICAO","FLIGHT NUMBER","STATIC AIR TEMP.","FLIGHT PHASE","T471","T474","T472","T475","T481","T482","FLAP CONFIGURATION","ECS ISOLATION VALVE","OAT","ECS_1","ECS_2","ENGINE 1 BLEED VLALE","ENGINE 2 BLEED VALVE","APU BLEED SWITCH","N11","N12","N21","N22"
"","aWARNMAS","aWARNMAS","_AC_REG","_ORIGIN","_DESTINATION","_FLIGHT_NUM","_SAT","_FLIGHT_PHASE","T471","T474","T472","T475","T481","T482","_FLAPS","ISOV","OAT","ECS_1","ECS_2","BLD_1","BLD_2","APU_BLEED","_N1_1","_N1_2","_N2_1","_N2_2"
"","","","","","","","DEG C","","","","","","","","","","","","","","","","%RPM","%RPM","%RPM","%RPM"
22-4,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,1.00000000000000000,0,,1,1,1,1,0,22.00000000000000000,22.12500000000000000,58.75000000000000000,58.75000000000000000
23-1,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,1.90102684497833250,1.67858123779296880,12.85125923156738300,16.78984832763671900,0.00000000000000000,0.00000000000000000,1.00000000000000000,0,-9.00000000000000000,1,1,1,1,0,22.00000000000000000,22.37500000000000000,58.75000000000000000,58.75000000000000000
23-2,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,1.00000000000000000,0,,1,1,1,1,0,22.00000000000000000,22.75000000000000000,58.75000000000000000,58.75000000000000000
23-3,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,2.00000000000000000,0,,1,1,1,1,0,22.00000000000000000,22.50000000000000000,58.75000000000000000,58.75000000000000000
23-4,0,0,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,2.00000000000000000,0,,1,1,1,1,0,22.00000000000000000,22.50000000000000000,58.75000000000000000,58.75000000000000000
24-1,1,0,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,4.42390251159667970,6.06228733062744140,17.91466903686523400,20.79238891601562500,0.00000000000000000,0.00000000000000000,2.00000000000000000,0,-9.00000000000000000,1,1,1,1,0,22.00000000000000000,22.75000000000000000,58.75000000000000000,58.75000000000000000
24-2,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,2.00000000000000000,0,,1,1,1,1,0,22.00000000000000000,22.50000000000000000,58.75000000000000000,58.75000000000000000
24-3,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,5.00000000000000000,0,,1,1,1,1,0,22.00000000000000000,22.50000000000000000,58.75000000000000000,58.75000000000000000
24-4,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,5.00000000000000000,0,,1,1,1,1,0,22.00000000000000000,22.75000000000000000,58.75000000000000000,58.75000000000000000
25-1,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,7.48044776916503910,11.72235679626464800,22.17082977294921900,23.17267227172851600,0.00000000000000000,0.00000000000000000,5.00000000000000000,0,-9.00000000000000000,1,1,1,1,0,21.87500000000000000,22.62500000000000000,58.75000000000000000,58.75000000000000000
25-2,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,5.00000000000000000,0,,1,1,1,1,0,21.87500000000000000,22.75000000000000000,58.75000000000000000,58.75000000000000000
25-3,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,5.00000000000000000,0,,1,1,1,1,0,21.87500000000000000,22.62500000000000000,58.75000000000000000,58.75000000000000000
25-4,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,5.00000000000000000,0,,1,1,1,1,0,21.87500000000000000,22.37500000000000000,58.75000000000000000,58.75000000000000000
26-1,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,11.95226669311523400,16.43444633483886700,24.80212783813476600,24.88005828857421900,0.00000000000000000,0.00000000000000000,5.00000000000000000,0,-9.00000000000000000,1,1,1,1,0,21.87500000000000000,22.50000000000000000,58.75000000000000000,58.75000000000000000
26-2,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,5.00000000000000000,0,,1,1,1,1,0,21.87500000000000000,22.37500000000000000,58.75000000000000000,58.75000000000000000
26-3,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,5.00000000000000000,0,,1,1,1,1,0,21.87500000000000000,22.25000000000000000,58.75000000000000000,58.75000000000000000
26-4,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,5.00000000000000000,0,,1,1,1,1,0,22.00000000000000000,22.37500000000000000,58.75000000000000000,58.75000000000000000
27-1,0,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,16.66782188415527300,21.57718276977539100,26.28799819946289100,26.44503784179687500,0.00000000000000000,0.00000000000000000,5.00000000000000000,0,-9.00000000000000000,1,1,1,1,0,22.00000000000000000,22.25000000000000000,58.75000000000000000,58.75000000000000000
27-2,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,5.00000000000000000,0,,1,1,1,1,0,21.87500000000000000,22.50000000000000000,58.75000000000000000,58.75000000000000000
27-3,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,5.00000000000000000,0,,1,1,1,1,0,21.87500000000000000,22.75000000000000000,58.75000000000000000,58.75000000000000000
27-4,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,5.00000000000000000,0,,1,1,1,1,0,21.87500000000000000,22.50000000000000000,58.75000000000000000,58.75000000000000000
28-1,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,19.85224151611328100,24.81152343750000000,27.62657165527343700,27.78461074829101600,0.00000000000000000,0.00000000000000000,5.00000000000000000,0,-9.00000000000000000,1,1,1,1,0,21.87500000000000000,22.25000000000000000,58.75000000000000000,58.75000000000000000
